verse_number,tantra,section,english_title
"636","Tantra Three","THE EIGHT GREAT SIDDHIS","The Devotee Hailed"
"637","Tantra Three","THE EIGHT GREAT SIDDHIS","Even Celestials Have to Follow the Path of"
"638","Tantra Three","THE EIGHT GREAT SIDDHIS","- Perform Siddhis in Meekness"
"639","Tantra Three","THE EIGHT GREAT SIDDHIS","Devotee’s Way is the Seeking of Gods"
"640","Tantra Three","THE EIGHT GREAT SIDDHIS","In Samadhi diva Unites in Uhcaused Being"
"641","Tantra Three","THE EIGHT GREAT SIDDHIS","Nothing Impossible Then"
"642","Tantra Three","THE EIGHT GREAT SIDDHIS","Sambhavi and Kechari Mudras ior Siddhis"
"643","Tantra Three","THE EIGHT GREAT SIDDHIS","Power of Transmigration"
"644","Tantra Three","THE EIGHT GREAT SIDDHIS","Karma Yoga Practices are Inferior to Eight"
"645","Tantra Three","THE EIGHT GREAT SIDDHIS","Siddh:"
"646","Tantra Three","THE EIGHT GREAT SIDDHIS","Subile Sounds"
"647","Tantra Three","THE EIGHT GREAT SIDDHIS","Siddhis in the Seventh, Eighth and Ninth Years"
"648","Tantra Three","THE EIGHT GREAT SIDDHIS","Siddhis in the Tenth, Eleventh and Twelfth Years"
"649","Tantra Three","THE EIGHT GREAT SIDDHIS","The Eight Siddhis Enumeraied"
"650","Tantra Three","THE EIGHT GREAT SIDDHIS","Anima Siddhi to Mukti"
"651","Tantra Three","THE EIGHT GREAT SIDDHIS","Light at the Manipura"
"652","Tantra Three","THE EIGHT GREAT SIDDHIS","On the Way to Siva Mukti"
"653","Tantra Three","THE EIGHT GREAT SIDDHIS","193. ae G. 1"
"654","Tantra Three","THE EIGHT GREAT SIDDHIS","Importance of Dhanamjaya"
"655","Tantra Three","THE EIGHT GREAT SIDDHIS","Diseases Appear When Dhanamjaya Does not"
"656","Tantra Three","THE EIGHT GREAT SIDDHIS","Importance of Kurma Vayu for Eye"
"657","Tantra Three","THE EIGHT GREAT SIDDHIS","The Three Gods Animate Three Nadis"
"658","Tantra Three","THE EIGHT GREAT SIDDHIS","Mukti Vision in Centre of Nine Nadis"
"659","Tantra Three","THE EIGHT GREAT SIDDHIS","Practice of Kundalini Yoga"
"660","Tantra Three","THE EIGHT GREAT SIDDHIS","1 you seek woman in lust"
"661","Tantra Three","THE EIGHT GREAT SIDDHIS","They who raise Nada within the Nadi"
"662","Tantra Three","THE EIGHT GREAT SIDDHIS","Reaching Purna Sakti"
"663","Tantra Three","THE EIGHT GREAT SIDDHIS","Sakti as the Supreme Cause Expands"
"664","Tantra Three","THE EIGHT GREAT SIDDHIS","Poorna Sakti evolves in Nada"
"665","Tantra Three","THE EIGHT GREAT SIDDHIS","Merge in Poorna Sakti"
"666","Tantra Three","THE EIGHT GREAT SIDDHIS","Lord Dances in Jiva."
"667","Tantra Three","THE EIGHT GREAT SIDDHIS","Through Nada Yoga 1 Reached to Sakti"
"668","Tantra Three","THE EIGHT GREAT SIDDHIS","=> DUS Sonor @) ५/2 GF ¢ தானாக"
"669","Tantra Three","THE EIGHT GREAT SIDDHIS","Bevond the Eight Siddhis in the 140005 Nectar"
"670","Tantra Three","THE EIGHT GREAT SIDDHIS","Siddhis Lead to Mukti Only by Sakti’s Grace"
"671","Tantra Three","THE EIGHT GREAT SIDDHIS","Beyond Siddhis is True Goal"
"672","Tantra Three","THE EIGHT GREAT SIDDHIS","Siddhis Lead to Kamiya Loka"
"673","Tantra Three","THE EIGHT GREAT SIDDHIS","Anima"
"674","Tantra Three","THE EIGHT GREAT SIDDHIS","Laghima"
"675","Tantra Three","THE EIGHT GREAT SIDDHIS","Vision in Laghima"
"676","Tantra Three","THE EIGHT GREAT SIDDHIS","Mahima"
"677","Tantra Three","THE EIGHT GREAT SIDDHIS",">"
"678","Tantra Three","THE EIGHT GREAT SIDDHIS","Finite Attainments Through Mahima Siddhi"
"679","Tantra Three","THE EIGHT GREAT SIDDHIS","Prapti in a Year After Visioning Sakti"
"680","Tantra Three","THE EIGHT GREAT SIDDHIS","-"
"681","Tantra Three","THE EIGHT GREAT SIDDHIS","Experiences in Prapti"
"682","Tantra Three","THE EIGHT GREAT SIDDHIS","Prakamya a Year After Prapti"
"683","Tantra Three","THE EIGHT GREAT SIDDHIS","Salvation Easy After Prakamya"
"684","Tantra Three","THE EIGHT GREAT SIDDHIS","Isatva a Year After Prakamya"
"685","Tantra Three","THE EIGHT GREAT SIDDHIS","“In Isatva Yogi Becomes Moon"
"686","Tantra Three","THE EIGHT GREAT SIDDHIS","Powers Isatva Confers"
"687","Tantra Three","THE EIGHT GREAT SIDDHIS","After One Year of Isatva Yogi Attains Power to"
"688","Tantra Three","THE EIGHT GREAT SIDDHIS","Vasitva Confers Immanence"
"689","Tantra Three","THE EIGHT GREAT SIDDHIS","In Vasitva the Yogi Visions Chit-Sakti"
"690","Tantra Three","THE EIGHT GREAT SIDDHIS","Kamarutatva (Kamavasayitha)"
"691","Tantra Three","THE EIGHT GREAT SIDDHIS","What Kamarutatva Leads to"
"692","Tantra Three","THE EIGHT GREAT SIDDHIS","Visions in Kamarutatva"
"693","Tantra Three","THE EIGHT GREAT SIDDHIS","When the Eight Siddhis are Attained"
"694","Tantra Three","THE EIGHT GREAT SIDDHIS","Sakti Pervades Prana After Siddhis are Attained"
"695","Tantra Three","THE EIGHT GREAT SIDDHIS","Nectar Flows When Prana Pervades Body"
"696","Tantra Three","THE EIGHT GREAT SIDDHIS","From Ajna Where Sadasiva Nayaki is, Prana"
"697","Tantra Three","THE EIGHT GREAT SIDDHIS","Description of Sadasiva Nayaki"
"698","Tantra Three","THE EIGHT GREAT SIDDHIS","How to Reach Tativa Nayaki"
"699","Tantra Three","THE EIGHT GREAT SIDDHIS","क क"
"700","Tantra Three","THE EIGHT GREAT SIDDHIS","Prana Reaches Tani.Nayaki and remains Exalted"
"701","Tantra Three","HALA UNWAVERING","Prana Merges in the Five-Letters"
"702","Tantra Three","HALA UNWAVERING","How Prana Pervaded the Nadis"
"703","Tantra Three","HALA UNWAVERING","Samadhi When Prana Reaches the Ninth Centre"
"704","Tantra Three","HALA UNWAVERING","In Samadhi Yogi Visions Light Divine"
"705","Tantra Three","HALA UNWAVERING","Conduct of Aspirant For Yoga Samadhi"
"706","Tantra Three","HALA UNWAVERING","Prowess of Those Who Attain Samadhi"
"707","Tantra Three","HALA UNWAVERING","Seek Lord Within"
"708","Tantra Three","HALA UNWAVERING","Gods in Successive Adharas and Niradharas"
"709","Tantra Three","HALA UNWAVERING","Unalloyed Bliss Beyond the Adhara Yoga"
"710","Tantra Three","HALA UNWAVERING","Lord Himself Appears Before Yogis"
"711","Tantra Three","HALA UNWAVERING","Immortality for Yogis Who Have Reached the"
"712","Tantra Three","HALA UNWAVERING","Yoga Leads to Divine Nectar"
"713","Tantra Three","HALA UNWAVERING","The Lord of the Fore-head-eye"
"714","Tantra Three","WAY TO KAYASIDDHI","Anchor Thoughts Firm on Lord"
"715","Tantra Three","WAY TO KAYASIDDHI","Way to Steady Kalas"
"716","Tantra Three","WAY TO KAYASIDDHI","Steady Prana Breath, Sankara Appears"
"717","Tantra Three","WAY TO KAYASIDDHI","Sadhaka’s State in Samadhi"
"718","Tantra Three","WAY TO KAYASIDDHI","Perform Yoga Penance and Reach Lord"
"719","Tantra Three","WAY TO KAYASIDDHI","Stages of Prana’s Ascending Course"
"720","Tantra Three","WAY TO KAYASIDDHI","Kundalini Yoga Turns the Body inte Temple of"
"721","Tantra Three","WAY TO KAYASIDDHI","Know the Mystery of Prana Merging in Nada"
"722","Tantra Three","WAY TO KAYASIDDHI","Treasure Guru’s Guidance for Yoga"
"723","Tantra Three","WAY TO KAYASIDDHI","immortality Through Samadhi Yoga"
"724","Tantra Three","WAY TO KAYASIDDHI","Experiences of Yogi When Prana Ascends"
"725","Tantra Three","WAY TO KAYASIDDHI","Importance of Preserving Body"
"726","Tantra Three","WAY TO KAYASIDDHI","Why I Preserve Body"
"727","Tantra Three","WAY TO KAYASIDDHI","Purification of Internal Organs of Body"
"728","Tantra Three","WAY TO KAYASIDDHI","Effect of Practising Yoga at Dawn, Noon and"
"729","Tantra Three","WAY TO KAYASIDDHI","Yoga Ledds to Imperishable Body"
"730","Tantra Three","WAY TO KAYASIDDHI","How to Live for 166 years"
"731","Tantra Three","WAY TO KAYASIDDHI","Divine Music in Yoga Practice"
"732","Tantra Three","WAY TO KAYASIDDHI","In Yoga Practice Soham 15 Chanted"
"733","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Course Prana dnd Apana Through Meditation"
"734","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Centre Thy Thoughts on Muliadhara"
"735","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Eternal Youth Through Yoga"
"736","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Continence Leads to God-hood"
"737","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Yoga Gives Comeliness of Body"
"738","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Imperishable Life in Yogic Vision"
"739","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Yogi Vibrates With Youthfulness"
"740","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","“Wheel of Time or Kala Chakra"
"741","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Ascension of Jiva from Moon’s Sphere"
"742","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Knowledge"
"743","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Meditation on Appropriate Mantra to Attain Kaya"
"744","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Critical Years of Life"
"745","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Days Appropriate for Commencing Yoga"
"746","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Yoga Explained"
"747","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","God is Beyond Adharas and Tattvas"
"748","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","The Days it Takes the Yogi to Traverse Adharas"
"749","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Vision of the Three Mandalas"
"750","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Practise Yoga in Time and Order Stated"
"751","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Kindle Kundalini Lamp Within"
"752","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Journey Through Six Adharas in Two Stages"
"753","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Importance of Sushumna in Yoga"
"754","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Coliective Vision of Mandalas End Karma"
"755","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Missing the Vision, the Body Perishes"
"756","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Those Who Vision Can Become the Dancing Lord"
"757","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Seek the Dancing Lord as Goal and Become One"
"758","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","God Vision at the End of 33 Days of Yoga"
"759","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Vision of the Hundred Petalled Lotus of Sahasrara"
"760","Tantra Three","WHEEL OF TIME OR KALA CHAKRA","Eternal Life Through Yoga"
"761","Tantra Three","MEASUREMENT OF LIFE SPAN","Thus They Live Through Timeless Aeons"
"762","Tantra Three","MEASUREMENT OF LIFE SPAN","Worldly Thoughts do not Lead to Sakti"
"763","Tantra Three","MEASUREMENT OF LIFE SPAN","Worldly Wealth is Perishable"
"764","Tantra Three","MEASUREMENT OF LIFE SPAN","Treasure Within is imperishable"
"765","Tantra Three","MEASUREMENT OF LIFE SPAN","Seek Siva-State"
"766","Tantra Three","MEASUREMENT OF LIFE SPAN","Fruits of Seeking"
"767","Tantra Three","MEASUREMENT OF LIFE SPAN","Seek Lord Through Aum"
"768","Tantra Three","MEASUREMENT OF LIFE SPAN","Know Lord Within and Become One With Him"
"769","Tantra Three","MEASUREMENT OF LIFE SPAN","Way to Become One With Siva"
"770","Tantra Three","MEASUREMENT OF LIFE SPAN","Vision the Lord in the Seven Adhavas"
"771","Tantra Three","MEASUREMENT OF LIFE SPAN","Vision of Gods in Adharas"
"772","Tantra Three","MEASUREMENT OF LIFE SPAN","Measuring the Life-Span by observing breath"
"773","Tantra Three","MEASUREMENT OF LIFE SPAN","Transcend Nada and Realize God"
"774","Tantra Three","MEASUREMENT OF LIFE SPAN","Course Breath Upward and See Light of Jnana"
"775","Tantra Three","MEASUREMENT OF LIFE SPAN","Importance of Nadi Suddhi for Longevity"
"776","Tantra Three","MEASUREMENT OF LIFE SPAN","EXhalation Measure for Ages 80 and 60"
"777","Tantra Three","MEASUREMENT OF LIFE SPAN","Exhalation for Ages 50 and 33"
"778","Tantra Three","MEASUREMENT OF LIFE SPAN","Exhalation for Ages 28 and 25"
"779","Tantra Three","MEASUREMENT OF LIFE SPAN","Kumbhaka of Ten Matras Leads to Concentration"
"780","Tantra Three","MEASUREMENT OF LIFE SPAN","Effect of Ten-Matra Kumbhaka for Three Days"
"781","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","Vision of the First Three Adharas on the Fourth"
"782","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","Collective Vision of Five Adharas on the Fifteenth"
"783","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","Visions of the 20th, 25th and 26th Days"
"784","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","Visions of 27th and 28th Day"
"785","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","On the 29th Day and 30th Day"
"786","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","On the 3151 Day and 32nd Day"
"787","Tantra Three","BREATH RHYTHM IN DAYS OF THE WEEK","Jiva’s Union in God on 33rd Day"
"788","Tantra Three","HOSTILE WEEK DAYS","Greatness of Kundalini Yoga"
"789","Tantra Three","HOSTILE WEEK DAYS","God as Knowledge"
"790","Tantra Three","KECHAR! YOGA","Sakti Grants Grace"
"791","Tantra Three","KECHAR! YOGA","Nandi grants Eternal Wisdom"
"792","Tantra Three","KECHAR! YOGA","Days of the Week and the Course of Breath"
"793","Tantra Three","KECHAR! YOGA","Breath Rhythm For Glowing Health"
"794","Tantra Three","KECHAR! YOGA","Yogi Corrects the Breath Rhythm"
"795","Tantra Three","KECHAR! YOGA","Changing Rhythm on Sundays and Mondays in"
"796","Tantra Three","KECHAR! YOGA","How to Regulate When Breath Rhythm Changes"
"797","Tantra Three","KECHAR! YOGA","Yogi Who Regulates Breath Will See Finite Light"
"798","Tantra Three","KECHAR! YOGA","Choose Appropriate Time for Piercing Adharas"
"799","Tantra Three","KECHAR! YOGA","Directional Dangers in Days of the Week"
"800","Tantra Three","KECHAR! YOGA","Dangers None if Breath Runs High in Right"
"801","Tantra Three","KECHAR! YOGA","How to Practise it"
"802","Tantra Three","KECHAR! YOGA","Technique of Kechari Yoga"
"803","Tantra Three","KECHAR! YOGA","Immortality in Yoga Way"
"804","Tantra Three","KECHAR! YOGA","Nectar in Kechari Mudra"
"805","Tantra Three","KECHAR! YOGA","Vision of Gods in Kechari Mudra"
"806","Tantra Three","KECHAR! YOGA","Transform Fleshy Stream Into Heavenly Stream"
"807","Tantra Three","KECHAR! YOGA","Leakage of Restrained Breath Leads to Evil"
"808","Tantra Three","KECHAR! YOGA","Perfect Practice of Kechari Leads to Immortality"
"809","Tantra Three","KECHAR! YOGA","Erect Posture for Kechari Mudra"
"810","Tantra Three","KECHAR! YOGA","Chant Sivayanama as You Swill Nectar"
"811","Tantra Three","KECHAR! YOGA","A Cave Temple Within"
"812","Tantra Three","KECHAR! YOGA","God’s Attributes"
"813","Tantra Three","KECHAR! YOGA","God’s Abodes"
"814","Tantra Three","KECHAR! YOGA","He Sat Supreme"
"815","Tantra Three","PARIYANGA YOGA","in Praise of Sakti"
"816","Tantra Three","PARIYANGA YOGA","Guard Nectar From Flowing Out"
"817","Tantra Three","PARIYANGA YOGA","With Sakti Stood Siva"
"818","Tantra Three","PARIYANGA YOGA","` Prana Reaches Moon’s Region"
"819","Tantra Three","PARIYANGA YOGA","Practise Uddiyana Bandha"
"820","Tantra Three","PARIYANGA YOGA","When to do Uddiyana Bandha"
"821","Tantra Three","PARIYANGA YOGA","Open a Wicket Gate Within and See Light"
"822","Tantra Three","PARIYANGA YOGA","Inexplicable Experiences of Kechari Yoga"
"823","Tantra Three","PARIYANGA YOGA","Distant Vision of Five-Element Combination"
"824","Tantra Three","PARIYANGA YOGA","Nature of Distant Divine Vision"
"825","Tantra Three","PARIYANGA YOGA","Reach Nada Through. Kundalini"
"826","Tantra Three","PARIYANGA YOGA","Pleasures of Sex तप्ता Will Abide If Breath"
"827","Tantra Three","PARIYANGA YOGA","If Breath is Controlled Delicious Enjoyment Results"
"828","Tantra Three","PARIYANGA YOGA","Duration of Enjoyment Lengthens If Breath is"
"829","Tantra Three","PARIYANGA YOGA","Restraint of Semen Flow Through Breath Control"
"830","Tantra Three","PARIYANGA YOGA","Effect of Restraint of Semen Flow"
"831","Tantra Three","PARIYANGA YOGA","Sex Union Through the Pariyanga Lasts Five"
"832","Tantra Three","PARIYANGA YOGA","Successful Practitioners Alone Can Resort to"
"833","Tantra Three","PARIYANGA YOGA","Lord Siva Practised Pariyanga Yoga"
"834","Tantra Three","PARIYANGA YOGA","The Age of the Couple for Pariyanga Yoga"
"835","Tantra Three","A’ ‘URI DHARANA","Only Those Who.Have Practised Kechari Can"
"836","Tantra Three","A’ ‘URI DHARANA","Pariyanga Yogi is Exalied"
"837","Tantra Three","A’ ‘URI DHARANA","T—20"
"838","Tantra Three","A’ ‘URI DHARANA","Pariyanga Yoga is Yogic Wisdom That Retains"
"839","Tantra Three","A’ ‘URI DHARANA","Freedom From Sexual Union is Attained by"
"840","Tantra Three","A’ ‘URI DHARANA","‘Vision of Space in Pariyanga Yoga"
"841","Tantra Three","CHANDRA YOGA","Pariyanga Yoga was Expounded by Sadasiva to"
"842","Tantra Three","CHANDRA YOGA","immortality for Those Who Uniie in Sivasakti in"
"843","Tantra Three","CHANDRA YOGA","Yogis Offered Themselves Entire to God"
"844","Tantra Three","CHANDRA YOGA","Yoga Dispels Worldly Longings"
"845","Tantra Three","CHANDRA YOGA","Lotus Cranial"
"846","Tantra Three","CHANDRA YOGA","Effect of Urine Therapy in Yoga"
"847","Tantra Three","CHANDRA YOGA","Good Effects of Amuri Dharana"
"848","Tantra Three","CHANDRA YOGA","Consume 100 -- Pepper Measure (drops) a Day"
"849","Tantra Three","CHANDRA YOGA","Only the Ignorant Dissuade the Practice"
"850","Tantra Three","CHANDRA YOGA","Effect of Mixing Ingredients"
"851","Tantra Three","CHANDRA YOGA","Greatness of Amuri Dharana"
"852","Tantra Three","CHANDRA YOGA","When Breath Turns Subtle"
"853","Tantra Three","CHANDRA YOGA","Yogi Experiences Kalas of Moon, Sun and Fire -"
"854","Tantra Three","CHANDRA YOGA","Kalas of Fire Merge into Sun, Which in Turn"
"855","Tantra Three","CHANDRA YOGA","{3125 of Sun, Moon and Fire Enumerated"
"856","Tantra Three","CHANDRA YOGA","The Disparate Kalas Merge inte One"
"857","Tantra Three","CHANDRA YOGA","Kalas Enumerated in Total, Including Those of"
"858","Tantra Three","CHANDRA YOGA","Rouse All Kalas and Reach God"
"859","Tantra Three","CHANDRA YOGA","Nine Kalas of Nava Chakra"
"860","Tantra Three","CHANDRA YOGA","Constituents of Pranava"
"861","Tantra Three","CHANDRA YOGA","Mystery of Fifteen Kalas of Moon"
"862","Tantra Three","CHANDRA YOGA","Chandra Yoga Described"
"863","Tantra Three","CHANDRA YOGA","Know Sixteen Kalas Within the Body"
"864","Tantra Three","CHANDRA YOGA","In Chandra Yoga Jiva-Star Merges in Siva"
"865","Tantra Three","CHANDRA YOGA","Chandra Yoga in Kundalini Yoga"
"866","Tantra Three","CHANDRA YOGA","Practise Nadi Suddhi"
"867","Tantra Three","CHANDRA YOGA","The Aspirant Hears Nada Sound in all the Ninth"
"868","Tantra Three","CHANDRA YOGA","Beyond Nada Sphere is Lord"
"869","Tantra Three","CHANDRA YOGA","Knowledge of Aum Takes to Lord’s Presence"
"870","Tantra Three","CHANDRA YOGA","Greatness of Kundalini Yoga"
"871","Tantra Three","CHANDRA YOGA","Merging Moon’s Kalas in Kundalini"
"872","Tantra Three","CHANDRA YOGA","Kundalini Devours and Throws Out Moon"
"873","Tantra Three","CHANDRA YOGA","Time for Sleeping and Eating When Moon is Devoured by Kundalini"
"874","Tantra Three","CHANDRA YOGA","By Chandra Yoga Death is Conquered"
"875","Tantra Three","CHANDRA YOGA","The Yogi Sees Vision of Past, Present and Future"
"876","Tantra Three","CHANDRA YOGA","Moon Drops Out With 12 Kalas From Kundalini's Mouth"
"877","Tantra Three","CHANDRA YOGA","He Conquers Bindu"
"878","Tantra Three","CHANDRA YOGA","The Emitted Moon has 16 Kalas Ultimately"
"879","Tantra Three","CHANDRA YOGA","Sun's Kala in Sex Union"
"880","Tantra Three","CHANDRA YOGA","Effects of Chandra Yoga"
"881","Tantra Three","CHANDRA YOGA","Greatness of Chandra Yoga"
"882","Tantra Three","CHANDRA YOGA","Alternating Breath to Samadhi End"
"883","Tantra Three","CHANDRA YOGA","Benefits of Yoga"
"884","Tantra Four","AJAPA","The One-Letter Mantra of Our Lord"
"885","Tantra Four","AJAPA","Letters A, U and M"
"886","Tantra Four","AJAPA","Glory of Chidambaram"
"887","Tantra Four","AJAPA","Dances in the Golden Temple"
"888","Tantra Four","AJAPA","One Letter Aum is Divine Dance"
"889","Tantra Four","AJAPA","God is Letter A and U"
"890","Tantra Four","AJAPA","Variations of Namasivaya"
"891","Tantra Four","AJAPA","Letters A and U are Si and Va"
"892","Tantra Four","AJAPA","Letters Three — Si Va Ya"
"893","Tantra Four","AJAPA","Letters Two — A and U Became Five Letters"
"894","Tantra Four","AJAPA","Letters A and U are the Agamic Mantra"
"895","Tantra Four","AJAPA","Letters of Engrossing Purity"
"896","Tantra Four","AJAPA","Lord is All"
"897","Tantra Four","AJAPA","The Lord is Supreme"
"898","Tantra Four","AJAPA","Letters A and U are Feet of Lord"
"899","Tantra Four","AJAPA","The Two Became Several"
"900","Tantra Four","AJAPA","All Mantras Contained in Two-Letter Mantra"
"901","Tantra Four","AJAPA","Letters A and U are Tattva Dance"
"902","Tantra Four","AJAPA","The Dance Transforms Jiva Into Siva"
"903","Tantra Four","THIRU AMBALA CHAKRA","Sivaya Nama Purifies and Transforms Jiva"
"904","Tantra Four","THIRU AMBALA CHAKRA","How Tiru Ambala Chakra is Formed"
"905","Tantra Four","THIRU AMBALA CHAKRA","Chant Sivaya Nama and Behold Dance"
"906","Tantra Four","THIRU AMBALA CHAKRA","Chant Sivaya Nama in Silence"
"907","Tantra Four","THIRU AMBALA CHAKRA","Chant Sivaya Nama and Behold Golden Feet"
"908","Tantra Four","THIRU AMBALA CHAKRA","Chant Sivaya Nama and Attain Siddhis"
"909","Tantra Four","THIRU AMBALA CHAKRA","Chant Sivaya Nama and Enjoy Bliss of Siva"
"910","Tantra Four","THIRU AMBALA CHAKRA","Sivaya Nama are of the Life-Vowels Five and Seminal Sounds Five"
"911","Tantra Four","THIRU AMBALA CHAKRA","Two Letters Become Five Letters"
"912","Tantra Four","THIRU AMBALA CHAKRA","Dance Vowels Become Five Letter Mantra"
"913","Tantra Four","THIRU AMBALA CHAKRA","The Dance of Ruby"
"914","Tantra Four","THIRU AMBALA CHAKRA","How to Form the Chakra"
"915","Tantra Four","THIRU AMBALA CHAKRA","The Configuration of the 121 Lettered Chakra Diagram"
"916","Tantra Four","THIRU AMBALA CHAKRA","Say ""Hara Hara"" and End Birth Cycle"
"917","Tantra Four","THIRU AMBALA CHAKRA","The Significance of Letter ""Si"" in the Chakra"
"918","Tantra Four","THIRU AMBALA CHAKRA","Significance of Letter Om"
"919","Tantra Four","THIRU AMBALA CHAKRA","The Five Letters Manifest (Sthula) and Subtle (Sukshma)"
"920","Tantra Four","THIRU AMBALA CHAKRA","Letter Ma Central in Chakra With 25 Chambers"
"921","Tantra Four","THIRU AMBALA CHAKRA","The Yantra of Six Letters Om Na Ma Si Va Ya"
"922","Tantra Four","THIRU AMBALA CHAKRA","A Variation of the Six-Letter Yantra"
"923","Tantra Four","THIRU AMBALA CHAKRA","How the Five Letters are Filled in the 25-Chamber Chakra"
"924","Tantra Four","THIRU AMBALA CHAKRA","How the 51-Letter Chakra is Formed"
"925","Tantra Four","THIRU AMBALA CHAKRA","The Yantra for the Mantra Om Hari Hara"
"926","Tantra Four","THIRU AMBALA CHAKRA","Yantra Representing Lord's Abode"
"927","Tantra Four","THIRU AMBALA CHAKRA","The Yantra for Mula Chakra"
"928","Tantra Four","THIRU AMBALA CHAKRA","How to Fill in the Mula Chakra"
"929","Tantra Four","THIRU AMBALA CHAKRA","How to Chant Mula Chakra"
"930","Tantra Four","THIRU AMBALA CHAKRA","Sum Sauh Sivaya Nama"
"931","Tantra Four","THIRU AMBALA CHAKRA","Siva and Sakti Interchange Their Bija Mantra States"
"932","Tantra Four","THIRU AMBALA CHAKRA","Linga Chakra"
"933","Tantra Four","THIRU AMBALA CHAKRA","Au and Sau are Mantras of Siva-Sakti Union"
"934","Tantra Four","THIRU AMBALA CHAKRA","Panchakshara Chakra"
"935","Tantra Four","THIRU AMBALA CHAKRA","Chant Letter of Dance — Si"
"936","Tantra Four","THIRU AMBALA CHAKRA","Chant Om and Rouse Kundalini"
"937","Tantra Four","THIRU AMBALA CHAKRA","Chant ""Ma"" of Grace — Sakti"
"938","Tantra Four","THIRU AMBALA CHAKRA","Lord Revealed His First Letter ""Si"""
"939","Tantra Four","THIRU AMBALA CHAKRA","The Lord is Uncreated"
"940","Tantra Four","FOUR","Lord of Vedas in Letter-Five"
"941","Tantra Four","FOUR","Five-Letter Form of Siva"
"942","Tantra Four","FOUR","See Lord in Five-Letter"
"943","Tantra Four","FOUR","Power of Five-Letter Mantra"
"944","Tantra Four","FOUR","Vision Divine Dance"
"945","Tantra Four","FOUR","Fifty-One Letters are Five-Letters Also"
"946","Tantra Four","FOUR","Sivayanama"
"947","Tantra Four","FOUR","Five Letters are the Five Elements and Five Colors"
"948","Tantra Four","FOUR","Chakra Leads to Nandi's Grace"
"949","Tantra Four","FOUR","Significance of Chakra"
"950","Tantra Four","FOUR","Yantra for Siva Mantra"
"951","Tantra Four","FOUR","Three Ways of Chanting Panchakshara"
"952","Tantra Four","FOUR","Lord is in ""Aum"" Beyond Adharas"
"953","Tantra Four","FOUR","Chant Aum, Nandi Appears"
"954","Tantra Four","FOUR","Heavenly Letter Ends Birth"
"955","Tantra Four","FOUR","Mukti is When Aum Appears in Garland of Letters Within"
"956","Tantra Four","FOUR","Sakti and Siva are on the Mystic Letter Below the Navel"
"957","Tantra Four","FOUR","Ha(m)sa is Hara's Mantra"
"958","Tantra Four","FOUR","The Great Mantra Rises in the Heart"
"959","Tantra Four","FOUR","""Aum"" Mantra Sustains Life"
"960","Tantra Four","FOUR","Chant ""Om Sivaya Nama"""
"961","Tantra Four","FOUR","The Mantra is Oblation to Siva"
"962","Tantra Four","FOUR","Chant Aum and Be Redeemed"
"963","Tantra Four","FOUR","Garland of Fifty-One Letters"
"964","Tantra Four","FOUR","Sakti Expands as Fifty-One Letters"
"965","Tantra Four","FOUR","Fifty Letters Come to Five Letters"
"966","Tantra Four","FOUR","Five Letters is All"
"967","Tantra Four","FOUR","Chant His Name; He Beckons to You"
"968","Tantra Four","FOUR","Lord in His Five Letters"
"969","Tantra Four","FOUR","Chant Five Letters and Be Forever Young"
"970","Tantra Four","FOUR","As One-Letter Lord Pervades All"
"971","Tantra Four","FOUR","Chant Sakti's Letter Va"
"972","Tantra Four","FOUR","Chant Na Ma Si Va"
